,,,,,,,
,Timestamp,Trade Open,Trade High,Trade Low,Trade Close,Trade Volume,Return
0.12%,12/12/2016,11198.42,11213.04,11141.86,11190.21,2/14/-6743,0.12%
-0.22%,12/9/2016,11170.18,11231.69,11145.98,11203.63,12/9/-32712,-0.22%
-1.74%,12/8/2016,11035.76,11193.1,10990.6,11179.42,10/10/-28902,-1.74%
-1.94%,12/7/2016,10885.05,10988.79,10873.81,10986.69,2/9/15080,-1.94%
-0.84%,12/6/2016,10685,10786.26,10668.67,10775.32,6/20/-640,-0.84%
-1.62%,12/5/2016,10494.64,10730.74,10493.62,10684.83,9/23/-32094,-1.62%
0.20%,12/2/2016,10436.48,10545.37,10402.59,10513.35,9/10/-23682,0.20%
1.00%,12/1/2016,10593.06,10627.1,10502.54,10534.05,1/25/-4530,1.00%
-0.19%,11/30/2016,10615.79,10691.67,10606.04,10640.3,7/29/-23718,-0.19%
-0.36%,11/29/2016,10562.15,10624.76,10539.23,10620.49,1/4/26613,-0.36%
1.10%,11/28/2016,10655.92,10658.36,10554.94,10582.67,5/27/12996,1.10%
-0.09%,11/25/2016,10700.17,10710.16,10649.37,10699.27,8/7/-27576,-0.09%
-0.25%,11/24/2016,10689.16,10715.65,10653.62,10689.26,6/10/23119,-0.25%
0.48%,11/23/2016,10718.89,10742.66,10602.21,10662.44,10/4/1321,0.48%
-0.27%,11/22/2016,10745.67,10767.73,10707.87,10713.85,6/17/-25148,-0.27%
-0.19%,11/21/2016,10697.95,10727.09,10595.14,10685.13,11/20/7141,-0.19%
0.20%,11/18/2016,10735.05,10737.98,10649.12,10664.56,11/19/31746,0.20%
-0.20%,11/17/2016,10640.36,10686.88,10604.32,10685.54,2/11/8367,-0.20%
0.67%,11/16/2016,10726.34,10735.47,10610.27,10663.87,12/17/10283,0.67%
-0.39%,11/15/2016,10720.93,10748.31,10666.17,10735.14,6/18/-31931,-0.39%
-0.24%,11/14/2016,10750.62,10802.39,10677.09,10693.69,5/19/-21989,-0.24%
-0.36%,11/11/2016,10702.88,10714.47,10584.31,10667.95,11/22/-26058,-0.36%
0.15%,11/10/2016,10710.04,10793.97,10575.96,10630.12,9/20/1368,0.15%
-1.55%,11/9/2016,10181.89,10646.55,10174.92,10646.01,8/28/19062,-1.55%
-0.24%,11/8/2016,10449.52,10486.04,10414.83,10482.32,1/12/19055,-0.24%
-1.91%,11/7/2016,10410.56,10456.95,10381.14,10456.95,10/24/-27827,-1.91%
0.65%,11/4/2016,10281.87,10286.39,10212.53,10259.13,12/8/-13070,0.65%
0.44%,11/3/2016,10341.86,10406.72,10325.88,10325.88,1/6/-26814,0.44%
1.49%,11/2/2016,10443.52,10460.93,10368.2,10370.93,9/10/-6202,1.49%
1.31%,11/1/2016,10724.14,10730.48,10506.39,10526.16,4/23/18800,1.31%
0.29%,10/31/2016,10658.67,10687.74,10634.34,10665.01,3/19/-1788,0.29%
0.20%,10/28/2016,10634.99,10716.16,10583.57,10696.19,6/23/4494,0.20%
-0.07%,10/27/2016,10691.86,10772.67,10656.18,10717.08,12/29/-29947,-0.07%
0.44%,10/26/2016,10726.22,10737.79,10632.29,10709.68,2/10/19416,0.44%
0.04%,10/25/2016,10786.25,10827.72,10738.36,10757.31,12/18/-7042,0.04%
-0.47%,10/24/2016,10743.87,10820.08,10743.87,10761.17,12/9/24030,-0.47%
-0.09%,10/21/2016,10710.51,10737.26,10672.35,10710.73,7/30/-22423,-0.09%
-0.52%,10/20/2016,10665.75,10748.41,10592.89,10701.39,3/2/31101,-0.52%
-0.13%,10/19/2016,10626.99,10672.22,10587.71,10645.68,9/7/13308,-0.13%
-1.21%,10/18/2016,10560.14,10657.34,10543.69,10631.55,10/21/-16671,-1.21%
0.73%,10/17/2016,10544.69,10583.7,10491.28,10503.57,7/1/-20222,0.73%
-1.58%,10/14/2016,10450.06,10615.3,10449.47,10580.38,12/23/17008,-1.58%
1.04%,10/13/2016,10425.79,10430.83,10349.06,10414.07,6/27/10141,1.04%
0.51%,10/12/2016,10572.72,10604,10503.2,10523.07,10/30/-12734,0.51%
0.44%,10/11/2016,10600.94,10692.36,10568.72,10577.16,2/3/8027,0.44%
-1.26%,10/10/2016,10496.01,10639.41,10454.98,10624.08,9/9/18129,-1.26%
0.74%,10/7/2016,10549.69,10579.09,10465.35,10490.86,3/27/17203,0.74%
0.16%,10/6/2016,10641.13,10641.13,10537.68,10568.8,2/28/-28292,0.16%
0.32%,10/5/2016,10535.62,10622.44,10486.63,10585.78,4/8/4611,0.32%
-1.03%,10/4/2016,10492.97,10646.72,10492.25,10619.61,12/19/-31208,-1.03%
-1.01%,9/30/2016,10240.69,10531.26,10189.94,10511.02,8/30/-7201,-1.01%
0.31%,9/29/2016,10545.6,10575.34,10370.23,10405.54,6/17/24169,0.31%
-0.74%,9/28/2016,10425.89,10518.36,10417.15,10438.34,6/17/-20024,-0.74%
0.31%,9/27/2016,10451.4,10455.88,10265.69,10361.48,11/4/-20547,0.31%
2.22%,9/26/2016,10555.19,10560.83,10385.63,10393.71,4/2/28460,2.22%
0.44%,9/23/2016,10662.49,10675.62,10610.95,10626.97,5/12/-3050,0.44%
-2.25%,9/22/2016,10518.53,10705.4,10517.8,10674.18,10/11/10681,-2.25%
-0.41%,9/21/2016,10496.43,10535.25,10427.22,10436.49,3/1/21669,-0.41%
-0.19%,9/20/2016,10374.68,10465.95,10371.62,10393.86,3/19/8026,-0.19%
-0.95%,9/19/2016,10349.87,10381.93,10326.75,10373.87,6/12/4594,-0.95%
1.50%,9/16/2016,10403.67,10427.2,10262.19,10276.17,7/5/0665,1.50%
-0.51%,9/15/2016,10360.84,10446.4,10337.23,10431.2,10/14/-31965,-0.51%
0.08%,9/14/2016,10410.3,10450.41,10369.72,10378.4,9/24/-2881,0.08%
0.43%,9/13/2016,10483.07,10507.04,10382.85,10386.6,4/16/-13932,0.43%
1.35%,9/12/2016,10380.46,10431.9,10299.38,10431.77,9/4/14662,1.35%
0.96%,9/9/2016,10641.81,10671.66,10539.31,10573.44,8/3/18816,0.96%
0.73%,9/8/2016,10749.82,10780.42,10570.06,10675.29,9/27/-3694,0.73%
